species,TFTx,BPP.CNP,CRISP,CTL,GF,KSPI,LAAO,ePLA2,vPLA2,SVMP,SVSP,Total,cm,Family,Author,Tech,Ref
Hypsiglena_torquata,0.00070,0.07359,0.16684,0.06176,0.00012,0.00056,0.00000,0.00000,0.00000,0.68666,0.00000,0.99023,48.0,Colubridae,McGivern et al. (2014),Illumina,https://doi.org/10.1186/1471-2164-15-1061
Lachesis_muta,0.01600,0.73200,0.00000,0.05800,0.00300,0.00000,0.03700,0.00000,0.04700,0.05900,0.03500,0.98700,225.0,Viperidae,Lnacio et al. (2007),ABI 3100,https://doi.org/10.1534/genetics.106.056515
Micrurus_altirostris,0.86400,0.00000,0.00000,0.01300,0.00000,0.03800,0.00000,0.04900,0.00000,0.00600,0.00000,0.97000,64.0,Elapidae,Correa-Netto et al. (2011),ABI 3100,https://doi.org/10.1016/j.jprot.2011.04.003
Micrurus_corallinus,0.20300,0.29530,0.00000,0.06700,0.01830,0.00150,0.00840,0.37680,0.00000,0.02100,0.00100,0.99230,72.5,Elapidae,Aird et al. (2017),Illumina,https://dx.doi.org/10.3390/toxins9060187
Micrurus_fulvius,0.25160,0.00000,0.00000,0.00799,0.01600,0.02154,0.00880,0.64947,0.00000,0.02947,0.00000,0.98487,55.0,Elapidae,Margres et al. (2013),Illumina,https://doi.org/10.1186/1471-2164-14-531
Micrurus_lemniscatus,0.67220,0.00200,0.00240,0.00480,0.01420,0.07150,0.00730,0.17200,0.00000,0.01120,0.00100,0.95860,120.0,Elapidae,Aird et al. (2017),Illumina,https://dx.doi.org/10.3390/toxins9060187
Micrurus_spixii,0.62640,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36390,0.00000,0.00000,0.00000,0.99030,75.0,Elapidae,Aird et al. (2017),Illumina,https://dx.doi.org/10.3390/toxins9060187
Micrurus_surinamensis,0.60240,0.02670,0.00000,0.00340,0.07880,0.01070,0.00000,0.26230,0.00000,0.00140,0.00000,0.98570,68.0,Elapidae,Aird et al. (2017),Illumina,https://dx.doi.org/10.3390/toxins9060187
Naja_atra,0.95800,0.00000,0.00700,0.00600,0.00100,0.00100,0.00100,0.01200,0.00000,0.00400,0.00000,0.99000,150.0,Elapidae,Jiang et al. (2011),ABI 3100,https://doi.org/10.1186/1471-2164-12-1
Naja_kaouthia,0.82000,0.00000,0.00000,0.00500,0.00300,0.00100,0.00200,0.13600,0.00000,0.01100,0.00000,0.97800,150.0,Elapidae,Xu et al. (2017),Illumina,https://doi.org/10.1016/j.jprot.2017.02.018
Opheodrys_aestivus,0.13300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03600,0.00000,0.00000,0.00000,0.16900,91.5,Colubridae,Hargreaves et al. (2014),Illumina,https://doi.org/10.1016/j.toxicon.2014.10.004
Ophiophagus_hannah,0.43000,0.00000,0.08700,0.00000,0.00800,0.01000,0.05700,0.04000,0.00000,0.24400,0.00700,0.88300,425.0,Elapidae,Tan et al. (2015),Illumina,https://dx.doi.org/10.1186/s12864-015-1828-2
Ovophis_okinavensis,0.00000,0.00000,0.00000,0.00579,0.00008,0.00000,0.00623,0.00000,0.00647,0.04220,0.86176,0.92253,55.0,Viperidae,Aird et al. (2013),Illumina,https://doi.org/10.1186/1471-2164-14-790
Pantherophis_guttatus,0.01000,0.00000,0.02200,0.00000,0.00000,0.00000,0.00000,0.12900,0.00000,0.00000,0.00000,0.16100,150.0,Colubridae,Hargreaves et al. (2014),Illumina,https://doi.org/10.1016/j.toxicon.2014.10.004
Phalotris_mertensi,0.01800,0.00140,0.00330,0.21600,0.00040,0.43900,0.02300,0.00000,0.00000,0.22040,0.00220,0.92370,100.0,Colubridae,Campos et al. (2016),ABI 3100,https://doi.org/10.1093/gbe/evw149
Philodryas_olfersii,0.00000,0.22400,0.10400,0.05800,0.00000,0.00000,0.00000,0.00000,0.00000,0.52400,0.08900,0.99900,125.0,Colubridae,Ching et al. (2006),ABI 3100,https://doi.org/10.1016/j.febslet.2006.07.010
Protobothrops_elegans,0.00000,0.01400,0.00001,0.00200,0.00600,0.00000,0.00500,0.00000,0.77100,0.08100,0.10400,0.98301,120.0,Viperidae,Aird et al. (2015),Illumina,https://doi.org/10.1186/s12864-015-1832-6
Protobothrops_flavoviridis,0.00000,0.00000,0.03854,0.15356,0.00960,0.00000,0.09071,0.00000,0.32136,0.26975,0.11054,0.99406,137.0,Viperidae,Aird et al. (2013),Illumina,https://doi.org/10.1186/1471-2164-14-790
Protobothrops_mucrosquamatus,0.00000,0.00000,0.01018,0.01018,0.00647,0.00000,0.01200,0.00000,0.25746,0.39966,0.28076,0.97671,116.0,Viperidae,Aird et al. (2017),Illumina,https://doi.org/10.1093/gbe/evx199
Pseudonaja_textilis,0.10633,0.00000,0.03846,0.00000,0.00452,0.01810,0.00000,0.18778,0.00000,0.00000,0.42534,0.78053,150.0,Elapidae,Reeks et al. (2016),Roche GS FLX,https://doi.org/10.1016/j.jprot.2015.11.019
Sistrurus_catenatus,0.00830,0.00280,0.06670,0.01390,0.06670,0.00000,0.03610,0.00000,0.28060,0.12220,0.37500,0.97230,73.5,Viperidae,Pahari et al. (2007),ABI 3100,https://doi.org/10.1186/1471-2199-8-115
Thamnodynastes_strigatus,0.00200,0.00000,0.01900,0.05400,0.00000,0.00000,0.00000,0.00000,0.00000,0.84400,0.00700,0.92600,70.0,Colubridae,Ching et al. (2011),ABI 3100,https://dx.doi.org/10.1021/pr200876c
